time_s,max_C_1d,max_C_2d,difference_2d_minus_1d
8.700000000000000000e+04,2.366512724802984635e-01,2.366475337550714431e-01,-3.738725227020456288e-06
8.760000000000000000e+04,2.355180036269135524e-01,2.355142783954467522e-01,-3.725231466800149605e-06
8.820000000000000000e+04,2.344038712770484256e-01,2.344001594108471032e-01,-3.711866201322466807e-06
8.880000000000000000e+04,2.333083802359122438e-01,2.333046816096059628e-01,-3.698626306281038723e-06
8.940000000000000000e+04,2.322310520598041550e-01,2.322273665510116436e-01,-3.685508792511393850e-06
9.000000000000000000e+04,2.311714243720990603e-01,2.311677518612993698e-01,-3.672510799690442695e-06
9.060000000000000000e+04,2.301290502112138814e-01,2.301253905816249279e-01,-3.659629588953494661e-06
9.120000000000000000e+04,2.291034974089177501e-01,2.290998505463805457e-01,-3.646862537204365040e-06
9.180000000000000000e+04,2.280943479974323895e-01,2.280907137903012971e-01,-3.634207131092415111e-06
9.240000000000000000e+04,2.271011976438570557e-01,2.270975759828959828e-01,-3.621660961072858953e-06
9.300000000000000000e+04,2.261236551105278714e-01,2.261200458888113496e-01,-3.609221716521782142e-06
9.360000000000000000e+04,2.251613417399970229e-01,2.251577448528165881e-01,-3.596887180434826803e-06
9.420000000000000000e+04,2.242138909633893673e-01,2.242103063081647973e-01,-3.584655224569965881e-06
9.480000000000000000e+04,2.232809478309588369e-01,2.232773753071533862e-01,-3.572523805450700252e-06
9.540000000000000000e+04,2.223621685637309497e-01,2.223586080727715797e-01,-3.560490959370055108e-06
9.600000000000000000e+04,2.214572201251785444e-01,2.214536715703795677e-01,-3.548554798976644165e-06
9.660000000000000000e+04,2.205657798117911794e-01,2.205622430984235660e-01,-3.536713367613408820e-06
9.720000000000000000e+04,2.196875348615096035e-01,2.196840097401440706e-01,-3.525121365532957185e-06
9.780000000000000000e+04,2.188221820817375096e-01,2.188186684831625595e-01,-3.513598574950149711e-06
9.840000000000000000e+04,2.179694274893291261e-01,2.179659254631218235e-01,-3.502026207302666450e-06
9.900000000000000000e+04,2.171289859693658619e-01,2.171254954262734072e-01,-3.490543092454778673e-06
9.960000000000000000e+04,2.163005809478443786e-01,2.162971018009983704e-01,-3.479146846008251970e-06
1.002000000000000000e+05,2.154839440784490912e-01,2.154804762424304132e-01,-3.467836018677949994e-06
1.008000000000000000e+05,2.146788149427181214e-01,2.146753583335121729e-01,-3.456609205948479868e-06
1.014000000000000000e+05,2.138849407629612454e-01,2.138814952979096740e-01,-3.445465051571394710e-06
1.020000000000000000e+05,2.131020761273165198e-01,2.130986417250709253e-01,-3.434402245594547765e-06
1.026000000000000000e+05,2.123299827263680495e-01,2.123265593068463519e-01,-3.423419521697557144e-06
1.032000000000000000e+05,2.115684291007767504e-01,2.115650165851214737e-01,-3.412515655276671112e-06
1.038000000000000000e+05,2.108171903994031926e-01,2.108137887099417740e-01,-3.401689461418611060e-06
1.044000000000000000e+05,2.100760481474305275e-01,2.100726572076374588e-01,-3.390939793068703523e-06
1.050000000000000000e+05,2.093447900240189008e-01,2.093414097584796185e-01,-3.380265539282278908e-06
1.056000000000000000e+05,2.086232096490487076e-01,2.086198399834254258e-01,-3.369665623281781208e-06
1.062000000000000000e+05,2.079111063785313018e-01,2.079077472395300663e-01,-3.359139001235522670e-06
1.068000000000000000e+05,2.072082851082880095e-01,2.072049364236273061e-01,-3.348684660703371563e-06
1.074000000000000000e+05,2.065145560855177753e-01,2.065112177838991370e-01,-3.338301618638350732e-06
1.080000000000000000e+05,2.058297347278952305e-01,2.058264067389742047e-01,-3.327988921025815117e-06
1.086000000000000000e+05,2.051536414498547900e-01,2.051503237042141825e-01,-3.317745640607494551e-06
1.092000000000000000e+05,2.044861014957393419e-01,2.044827939248629323e-01,-3.307570876409648974e-06
1.098000000000000000e+05,2.038269447795017231e-01,2.038236473157497841e-01,-3.297463751938956023e-06
1.104000000000000000e+05,2.031760057306695455e-01,2.031727183072546961e-01,-3.287423414849444114e-06
1.110000000000000000e+05,2.025331231462916548e-01,2.025298456972563499e-01,-3.277449035304913494e-06
1.116000000000000000e+05,2.018981400486036248e-01,2.018948725087986729e-01,-3.267539804951979932e-06
1.122000000000000000e+05,2.012709035482169728e-01,2.012676458532229873e-01,-3.257694993985538190e-06
1.128000000000000000e+05,2.006512647124372439e-01,2.006480167985287000e-01,-3.247913908543953454e-06
1.134000000000000000e+05,2.000390784384117604e-01,2.000358402427321880e-01,-3.238195679572397623e-06
1.140000000000000000e+05,1.994342033315283091e-01,1.994309747920083586e-01,-3.228539519950501813e-06
1.146000000000000000e+05,1.988365015882648246e-01,1.988332826434325851e-01,-3.218944832239500897e-06
1.152000000000000000e+05,1.982458388828552132e-01,1.982426294723093618e-01,-3.209410545851332230e-06
1.158000000000000000e+05,1.976620842588263927e-01,1.976588843224635905e-01,-3.199936362802136003e-06
1.164000000000000000e+05,1.970851100246160670e-01,1.970819195029150650e-01,-3.190521701001980404e-06
1.170000000000000000e+05,1.965147916520036675e-01,1.965116104863250113e-01,-3.181165678656228124e-06
1.176000000000000000e+05,1.959510076794256928e-01,1.959478358117795749e-01,-3.171867646117876305e-06
1.182000000000000000e+05,1.953936396184108859e-01,1.953904769913508699e-01,-3.162627060016021119e-06
1.188000000000000000e+05,1.948425718631490444e-01,1.948394184197106693e-01,-3.153443438375092001e-06
1.194000000000000000e+05,1.942976916033726520e-01,1.942945472873928714e-01,-3.144315979780598624e-06
1.200000000000000000e+05,1.937588887406528904e-01,1.937557534963894046e-01,-3.135244263485770233e-06
1.206000000000000000e+05,1.932260558074117007e-01,1.932229295797781576e-01,-3.126227633543088302e-06
1.212000000000000000e+05,1.926990878888621139e-01,1.926959706233741521e-01,-3.117265487961873305e-06
1.218000000000000000e+05,1.921778825476933850e-01,1.921747741903590267e-01,-3.108357334358213819e-06
1.224000000000000000e+05,1.916623397513891325e-01,1.916592402487549973e-01,-3.099502634135165025e-06
1.230000000000000000e+05,1.911523618020738446e-01,1.911492711012149626e-01,-3.090700858882078350e-06
1.236000000000000000e+05,1.906478532687857219e-01,1.906447713172957359e-01,-3.081951489986023418e-06
1.242000000000000000e+05,1.901487209220805719e-01,1.901456476680622731e-01,-3.073254018298721135e-06
1.248000000000000000e+05,1.896548736708729976e-01,1.896518090629292497e-01,-3.064607943747965635e-06
1.254000000000000000e+05,1.891662225014291154e-01,1.891631664886537778e-01,-3.056012775337624277e-06
1.260000000000000000e+05,1.886826804184241480e-01,1.886796329503938607e-01,-3.047468030287214802e-06
1.266000000000000000e+05,1.882041623879863734e-01,1.882011234147520917e-01,-3.038973234281705516e-06
1.272000000000000000e+05,1.877305852826494370e-01,1.877275547547283263e-01,-3.030527921110692802e-06
1.278000000000000000e+05,1.872618678264759973e-01,1.872588456965075809e-01,-3.022129968416331636e-06
1.284000000000000000e+05,1.867979304360230797e-01,1.867949167680121592e-01,-3.013668010920511620e-06
1.290000000000000000e+05,1.863386955882986029e-01,1.863356902491512257e-01,-3.005339147377217301e-06
1.296000000000000000e+05,1.858840871687518215e-01,1.858810901237035740e-01,-2.997045048247493071e-06
