time_s,air_T_C,surface_C_drybasis,air_dewpoint_C,baseline_center_T_C,baseline_surface_T_C,latent_center_T_C,latent_surface_T_C
8.800000000000000000e+01,2.883786666666666676e+01,2.264613801994364461e+00,2.513936564595053369e+01,2.800001718082933522e+01,2.814688252802071844e+01,2.799108904106581264e+01,1.744590468341682410e+01
8.900000000000000000e+01,2.884893333333333132e+01,2.263102169734869218e+00,2.514620499040476176e+01,2.800001907843370574e+01,2.814955565756563161e+01,2.799030115820929865e+01,1.740177295843223604e+01
9.000000000000000000e+01,2.885999999999999943e+01,2.261600131649280421e+00,2.515304137647795102e+01,2.800002114257102903e+01,2.815224585873857777e+01,2.798946259371014023e+01,1.735805028638047531e+01
9.100000000000000000e+01,2.887106666666666754e+01,2.260107527279662243e+00,2.515987480665253884e+01,2.800002338389379730e+01,2.815495294051157771e+01,2.798857144798840935e+01,1.731472959422940505e+01
9.200000000000000000e+01,2.888213333333333210e+01,2.258624200576310415e+00,2.516670528340781487e+01,2.800002581345404806e+01,2.815767671872458422e+01,2.798762581913947756e+01,1.727180400724463283e+01
9.300000000000000000e+01,2.889320000000000022e+01,2.257149999724820777e+00,2.517353280921984293e+01,2.800002844270438374e+01,2.816041701562780020e+01,2.798662380521271942e+01,1.722926684121164342e+01
9.400000000000000000e+01,2.890426666666666478e+01,2.255684776986239815e+00,2.518035738656175937e+01,2.800003128349846548e+01,2.816317365945795359e+01,2.798556350644331303e+01,1.718711159498185737e+01
9.500000000000000000e+01,2.891533333333333289e+01,2.254228388547902640e+00,2.518717901790346403e+01,2.800003434809089242e+01,2.816594648404675993e+01,2.798444302741638623e+01,1.714533194343003686e+01
9.600000000000000000e+01,2.892640000000000100e+01,2.252780694380255966e+00,2.519399770571178010e+01,2.800003764913697779e+01,2.816873532846948791e+01,2.798326047915411152e+01,1.710392173081679701e+01
9.700000000000000000e+01,2.893746666666666556e+01,2.251341558098411078e+00,2.520081345245051097e+01,2.800004119969201355e+01,2.817154003673200435e+01,2.798201398112998106e+01,1.706287496448223706e+01
9.800000000000000000e+01,2.894853333333333367e+01,2.249910846829853650e+00,2.520762626058028744e+01,2.800004501321022232e+01,2.817436045748683782e+01,2.798070166321384988e+01,1.702218580882364662e+01
9.900000000000000000e+01,2.895959999999999823e+01,2.248488431089134210e+00,2.521443613255866367e+01,2.800004910354332566e+01,2.817719644377113042e+01,2.797932166754517169e+01,1.698184857955029159e+01
